mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,label
4.9985485841,0.0539091631,0.0198591221,0.0029061979,0.0003943847,-40.7337675039,-17.6705411468,1674.6930196059,1022.6387713977,4.9988392798,0.0198591665,24.9883941452,0.0003943865,5.0000000000,0.5731376080,2.5914792322,-0.9185791016,0.0029083045,0.9999418474,0.0021160738,small,A
4.9971121231,0.0102211204,0.0069277378,0.0001044713,0.0000479936,-3.2567797979,12.0759197977,8.6066146523,515.9832549000,4.9971225762,0.0073892798,24.9712340420,0.0000546015,5.0000000000,0.2659688101,4.9609363079,-0.0848388672,0.0001128111,0.9999979082,0.3478802834,small,C
4.9998002447,0.0155805173,0.0135930049,0.0002427525,0.0001847698,-113.1469315436,123.5910970204,13853.6455831595,19554.8688725597,4.9998245208,0.0137800715,24.9982452392,0.0001898904,5.0000000000,2.1527756584,2.8986480300,-0.0848388672,0.0002427924,0.9999951446,0.1642133592,medium,C
4.9988235995,0.0145343388,0.0259835806,0.0002112470,0.0006751465,-41.5160294048,70.0505199485,2782.5873041029,7285.6290138379,4.9988447292,0.0261069951,24.9884486264,0.0006815752,5.0000000000,2.4597918638,3.9516891995,-0.9623718262,0.0002126309,0.9999957731,0.0971193780,small,C
4.9999316257,0.0032302881,0.0372874818,0.0000104348,0.0013903563,-61.5160187838,48.1139693130,4025.1805887068,3419.1662282707,4.9999326692,0.0373327149,24.9993266966,0.0013937316,5.0000000000,2.4597918638,4.7853022858,-0.7868957520,0.0000104394,0.9999997913,0.0492115693,small,B
4.9996804155,0.0210896080,0.0143841904,0.0004447716,0.0002069049,-86.9911322362,80.8614663676,8310.8360342215,8704.7029383059,4.9997248953,0.0145713808,24.9972490288,0.0002123251,5.0000000000,1.7578661458,2.5914792322,-0.0410461426,0.0004448737,0.9999911036,0.1597743900,medium,C
4.9996961323,0.0123159169,0.0093938665,0.0001516818,0.0000882447,-63.1525246117,-26.0222809638,4213.1798825362,1239.5683328944,4.9997113013,0.0095964203,24.9971130967,0.0000920913,5.0000000000,0.0466933195,4.1711172826,-0.4797363281,0.0001517741,0.9999969660,0.2043744706,small,C
4.9989649823,0.0355732843,0.0109663574,0.0012654586,0.0001202610,-54.7457901817,-3.4307181228,3269.0538709792,10.1300801704,4.9990915527,0.0109663578,24.9909163524,0.0001202610,5.0000000000,0.0466933195,2.7669606616,-0.0410461426,0.0012665298,0.9999746813,0.0002572362,small,A
4.9994372421,0.0341907912,0.0178299951,0.0011690102,0.0003179087,-70.2313825380,7.8294730233,4942.9934341050,1588.0204089007,4.9995541549,0.0178599062,24.9955417481,0.0003189762,5.0000000000,0.8803064058,2.5914792322,-0.7431030273,0.0011693269,0.9999766154,0.0578507971,small,A
4.9997825714,0.0187767575,0.0263537912,0.0003525666,0.0006945223,-103.2501506555,59.9407302676,11156.8759026535,5432.5626296522,4.9998178295,0.0264529832,24.9981783279,0.0006997603,5.0000000000,2.4597918638,2.7231666005,-0.8308410645,0.0003526139,0.9999929481,0.0865183940,medium,B
