mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
4.3990116308,0.0425801960,0.0157738049,0.0018130731,0.0002488129,-49.9959895328,52.2102882580,3177.3432337490,3524.9030565738,4.3992177033,0.0158873168,19.3531164006,0.0002524068,4.8730430006,1.0557878353,1.7139194922,-0.0848388672,1.2096396376,0.9999531570,0.1193255181,small,13,A
4.3934317360,0.0216969231,0.0119003081,0.0004707565,0.0001416173,-73.5507844990,43.0802431398,8900.1290178176,4075.0086730812,4.3934853107,0.0119931352,19.3027131757,0.0001438353,4.9609363079,1.2312692648,1.6701254311,-0.1725769043,1.1960637178,0.9999878059,0.1241778742,medium,44,A
4.3971471197,0.0200378748,0.0110865549,0.0004015164,0.0001229117,-17.9317120999,-25.2053080134,1106.1922271134,1331.8581287556,4.3971927760,0.0112754495,19.3353043090,0.0001271358,4.6975615711,0.3537095248,3.2496108890,-0.5674743652,1.2041333188,0.9999896170,0.1822767599,small,13,A
4.4057076713,0.0229486149,0.3779946553,0.0005266389,0.1428799595,-16.5010176761,-13.0661035464,1853.6281358822,168.9231477088,4.4057674387,0.3789421401,19.4107867236,0.1435971455,5.0000000000,1.0557878353,1.7578661458,-5.0000000000,1.2231160932,0.9999864343,-0.0706712892,medium,44,A
4.3920099165,0.0172730110,0.0119735568,0.0002983569,0.0001433661,-36.0402110649,58.7287221839,2850.2710085434,6887.0731099154,4.3920438823,0.0121768152,19.2900494640,0.0001482748,4.8730430006,1.2752159185,2.9863887448,-0.5674743652,1.1927840147,0.9999922665,0.1819501691,medium,44,A
4.4327612689,0.0280484263,0.0127977947,0.0007867142,0.0001637836,-69.8171648869,-20.9566540473,5439.5319519625,2441.0778414381,4.4328500067,0.0129656643,19.6501591816,0.0001681085,4.7415082247,0.9241004669,1.9333475753,-0.7431030273,1.2839348066,0.9999799818,0.1603959272,medium,44,A
4.3931606116,0.0130402605,2.3356266834,0.0001700484,5.4551520042,14.6351270776,-0.7651696172,515.9068760003,-1.4144415034,4.3931799653,2.8342968134,19.3000302079,8.0332384262,4.9169896542,0.3099154637,4.3465987121,-5.0000000000,1.1951701712,0.9999955946,-0.5665045565,small,13,A
4.6515232930,0.0282547020,0.0125273510,0.0007983282,0.0001569345,-66.0611347122,11.5289720086,5689.9219748333,1075.4659477101,4.6516091058,0.0125282783,21.6374672735,0.0001569578,4.8292489395,0.9241004669,1.8016602069,-0.2165222168,1.8274135397,0.9999815520,0.0121666457,medium,44,B
4.6523324285,0.0188785648,1.5735543722,0.0003564002,2.4760733622,0.3756094742,-2.4693003153,9.9819860014,4.0979230723,4.6523707317,1.6691934233,21.6445534254,2.7862066843,4.9169896542,0.1344340342,4.6098208563,-5.0000000000,1.8291593974,0.9999917669,-0.3336318862,small,13,B
4.4194703790,0.0213574379,0.3132293639,0.0004561402,0.0981126344,-3.8545795679,-15.8204379651,260.1019785823,248.6115189993,4.4195219845,0.3137336079,19.5321745711,0.0984287767,5.0000000000,0.1783806879,2.5914792322,-5.0000000000,1.2536700696,0.9999883233,-0.0566735303,medium,44,A
4.6510252222,0.0253703985,0.0144441787,0.0006436571,0.0002086343,-58.6297187213,34.1192562574,4818.0999777764,3264.8684775280,4.6510944168,0.0144508359,21.6326792743,0.0002088267,4.8730430006,1.6261787774,1.8894009217,-0.2165222168,1.8259128080,0.9999851229,0.0303505680,large,174,B
4.4199162090,0.0218743773,0.4434663794,0.0004784884,0.1966624297,-11.0372839647,-11.0885328885,1206.5384050940,121.1158850475,4.4199703374,0.4450457974,19.5361377833,0.1980657618,5.0000000000,1.5384380627,1.8456068606,-5.0000000000,1.2546908037,0.9999877537,-0.0841735291,medium,44,A
4.6517287596,0.0116909944,0.0158270366,0.0001366793,0.0002504951,-1.7450352732,24.8829767170,11.6057276395,1381.1812133095,4.6517434509,0.0158290338,21.6387171327,0.0002505583,4.7415082247,0.8363597522,4.6098208563,-0.1287841797,1.8273073190,0.9999968418,0.0158846297,small,13,B
4.6521200551,0.0224115758,0.0131539773,0.0005022787,0.0001730271,-72.5803373124,33.0258701950,7985.7953784958,2958.0446278528,4.6521740387,0.0131875026,21.6427232861,0.0001739102,4.8730430006,1.3629566332,1.6701254311,-0.2165222168,1.8287309222,0.9999883961,0.0712596538,large,174,B
4.4276992726,0.0285067817,1.0477922732,0.0008126366,1.0978686478,-49.4612756369,-4.3341399544,3896.1125285703,16.7870884639,4.4277910390,1.0723351565,19.6053334851,1.1499026879,5.0000000000,0.4853968932,1.8894009217,-5.0000000000,1.2725182860,0.9999792749,-0.2127224025,medium,44,A
