mean_one,std_one,std_zero,var_one,var_zero,skew_one,skew_zero,kurt_one,kurt_zero,rms_one,rms_zero,en_one,en_zero,max_one,max_zero,min_one,min_zero,mse_one,cos_one,cos_zero,msg_size,char_len,label
3.2940903026,0.0166948134,0.0174841706,0.0002787168,0.0003056962,-56.8159120966,33.3461226755,4719.3053964420,2508.1715240856,3.2941326079,0.0174898920,10.8513096387,0.0003058963,3.6007263405,1.4067506943,1.7139194922,-0.2604675293,0.0003136413,0.9999871574,-0.0255763870,medium,44,E
3.2854144231,0.0188436161,0.0250339160,0.0003550819,0.0006266970,-7.8588004594,7.9150750740,621.7429803255,498.5180966823,3.2854684617,0.0293363793,10.7943030131,0.0008606231,3.9077425459,1.5384380627,1.6701254311,-0.6114196777,0.0005678209,0.9999835522,-0.5213542513,large,174,A
3.2932537507,0.0157087327,0.0162424110,0.0002467643,0.0002638159,-46.0153384977,32.6773296437,4640.0681713349,3269.6963689246,3.2932912156,0.0162439343,10.8457670306,0.0002638654,3.8639484848,1.5822321238,1.7139194922,-0.5674743652,0.0002922762,0.9999886239,0.0136947920,medium,44,A
3.2941863501,0.0149707706,0.0224186197,0.0002241240,0.0005025945,-13.2717934615,9.4498875962,3338.6903426963,860.7084934043,3.2942203680,0.0232761167,10.8518878328,0.0005417776,4.0833765679,1.5822321238,1.7578661458,-0.7868957520,0.0002579225,0.9999896734,-0.2689297547,large,174,G
3.2984518788,0.0162323360,0.0937767725,0.0002634887,0.0087940831,-12.4900942699,-50.1791886185,1312.4657229547,2687.7609573358,3.2984918198,0.0938930709,10.8800482853,0.0088159088,3.8200018311,1.5822321238,1.7139194922,-5.0000000000,0.0002658854,0.9999878911,-0.0497565847,large,174,D
3.2944372464,0.0068236292,0.0108561776,0.0000465619,0.0001178566,4.9171849088,-3.5193751073,36.2669020005,10.3860011462,3.2944443132,0.0108562192,10.8533633326,0.0001178575,3.3373516037,0.0028992584,3.2496108890,-0.0410461426,0.0000775061,0.9999978550,0.0027669471,medium,44,E
3.2957595298,0.0172222483,0.0193962790,0.0002966058,0.0003762156,-31.5493954723,10.1477613738,2888.0617585567,867.5923334831,3.2958045276,0.0197887180,10.8623274844,0.0003915934,3.8200018311,1.5384380627,1.7139194922,-0.5236816406,0.0003145874,0.9999863469,-0.1981656201,large,174,D
3.2978148568,0.0260745430,0.0225074133,0.0006798818,0.0005065837,-4.8166155386,5.5408686384,1402.9824987329,1286.3052274299,3.2979179358,0.0227570669,10.8762627114,0.0005178841,4.3465987121,1.5822321238,1.7139194922,-0.9623718262,0.0006846566,0.9999687442,-0.1477173350,medium,44,D
3.2965472205,0.0125046036,0.0158353533,0.0001563651,0.0002507584,-14.2915469097,27.9145318936,1665.1723170099,2663.5249025629,3.2965709369,0.0158429716,10.8673799423,0.0002509997,3.7762077700,1.4506973479,1.8894009217,-0.4797363281,0.0001682868,0.9999928057,0.0310080183,medium,44,F
3.2944015314,0.0106743525,0.0175461934,0.0001139418,0.0003078689,-52.0561037844,26.2348658078,7717.5504791595,2157.7774015634,3.2944188246,0.0175516188,10.8531953917,0.0003080593,3.8200018311,1.5822321238,1.6701254311,-0.4797363281,0.0001452847,0.9999947508,-0.0248620554,large,174,F
